id,url,title,genre,img,desc,key_word
138,https://webtoon.kakao.com/content/장마/138,장마,공포/스릴러,138.jpg,어느 시골마을을 휩쓴 연쇄살인..그곳에는 비가 내린다!,"['등골오싹한', '처절한', '공포/스릴러', '복수물']"
146,https://webtoon.kakao.com/content/사랑보험/146,사랑보험,로맨스,146.jpg,사랑 때문에 아프십니까? 이제 사랑도 보험이 필요합니다,"['기발한', '가슴먹먹한', '로맨스', '힐링물']"
148,https://webtoon.kakao.com/content/To-From/148,To.From,학원/판타지,148.jpg,우연히 낯선 세계에 발을 딛은 소년 그곳에서 만난 것은..?,"['기발한', '통쾌한', '학원/판타지', '차원이동물']"
154,https://webtoon.kakao.com/content/실버볼1/154,실버볼1,드라마,154.jpg,새로운 스포츠 '실버볼'! 그 속에서 펼쳐지는 요절복통 이야기!,"['공감되는', '따뜻한', '드라마', '힐링물']"
155,https://webtoon.kakao.com/content/탁구공/155,탁구공,드라마,155.jpg,어느날 만난 의문의 노숙자 그리고 떠오르는 사랑의 기억?,"['우울한', '따뜻한', '드라마', '로맨틱코미디물']"
158,https://webtoon.kakao.com/content/카메라ON/158,카메라ON,학원/판타지,158.jpg,학교의 모든 특종은 나에게 맡겨라 4차원 명랑 학원만화 출동~!,"['발랄한', '설레는', '학원/판타지', '에피소드물']"
160,https://webtoon.kakao.com/content/룬의-이야기/160,룬의 이야기,판타지 드라마,160.jpg,위대한 바위가 되기 위해 떠나는 어느 바위인간의 아름다운 동화!,"['감동적인', '따뜻한', '판타지드라마', '힐링물']"
161,https://webtoon.kakao.com/content/아일랜드/161,아일랜드,학원/판타지,161.jpg,한국 SF 만화의 신화 팀 풍경 그들의 2010년 최신작!,"['미스테리한', '역동적인', '학원/판타지', '조직/암흑가']"
164,https://webtoon.kakao.com/content/반짝반짝-컬링부/164,반짝반짝 컬링부,드라마,164.jpg,컬링을 단 한번도 해본적 없는 선생님과 학생들이 풀어가는 좌충우돌 컬링 이야기,"['감동적인', '귀여운', '드라마', '힐링물']"
169,https://webtoon.kakao.com/content/고백/169,고백,로맨스,169.jpg,갑작스러운 고백? 나는 네가 누군지도 잘 모른단 말이야!,"['설레는', '귀여운', '로맨스', '연애물']"
173,https://webtoon.kakao.com/content/크레이지/173,크레이지,드라마,173.jpg,어느 소년의 작지만 만만치 않은 감동이 시작됩니다,"['감동적인', '따뜻한', '드라마', '힐링물']"
174,https://webtoon.kakao.com/content/헌티드스쿨-원더러즈-에이스/174,헌티드스쿨 원더러즈 에이스,학원/판타지,174.jpg,평화롭던 우리 학교에 생긴 웃지 못할 사건 사건의 실마리는 과연 어디에?!,"['발랄한', '미스테리한', '학원/판타지', '에피소드물']"
178,https://webtoon.kakao.com/content/흩날리는/178,흩날리는,학원/판타지,178.jpg,2년간의 기다림끝에 찾아 온 항해의 새로운 시작!,"['역동적인', '압도되는', '학원/판타지', '가상시대물']"
183,https://webtoon.kakao.com/content/우리동네에-왜-왔니/183,우리동네에 왜 왔니,드라마,183.jpg,조폭 패거리로 부터 우리동네를 지켜라! 조금산 작가 신작!,"['역동적인', '웃기는', '드라마', '막장드라마']"
187,https://webtoon.kakao.com/content/코알랄라/187,코알랄라,코믹/일상,187.jpg,먹는게 가장 소중한 코알라와 얌이의 즐거운 먹방.  계란후라이도 군고구마도 라면도 팥빙수도 게장도 모두모두~  세상 어떤 음식이라도 맛있을 땐 외쳐. 코알랄라!,"['식욕을자극하는', '귀여운', '코믹/일상', '지식정보']"
188,https://webtoon.kakao.com/content/탄/188,탄,코믹/일상,188.jpg,수퍼우먼 임강혁 작가의 괴기발랄한 단편 만화!,"['귀여운', '웃기는', '코믹/일상', '에피소드물']"
194,https://webtoon.kakao.com/content/대작/194,대작,드라마,194.jpg,최고의 막걸리를 두고 펼쳐지는 신명나는 술 대결!,"['공감되는', '몰입되는', '드라마', '복수물']"
198,https://webtoon.kakao.com/content/오무라이스-잼잼/198,오무라이스 잼잼,코믹/일상,198.jpg,'음식'과 '가족'의 이야기를 담은 에세이 만화.  몇 개라도 먹을 수 있을 것 같은 '메추리알 조림' 빙글빙글 돌아가는 '회전초밥' 지구 반 바퀴 돌아 포르투갈에서 맛본 '에그타르트' 매콤상콤하게 볶아 입맛 도는 '마라샹궈' 짭짤한 밥도둑 '간장게장' 등  우리가 사랑하는 모든 음식들에 얽힌 흥미진진한 비화와 따스한 이야기가 펼쳐진다.  엄마 아빠 딸 그리고 아들로 구성된 작가의 가족이 전하는 음식의 알찬 정보!  몸과 정신의 영양까지 챙기는 건강한 작품 지금 시작됩니다!,"['공감되는', '식욕을자극하는', '코믹/일상', '지식정보']"
202,https://webtoon.kakao.com/content/매지컬/202,매지컬,코믹/일상,202.jpg,올바른 매지컬 프린세스를 기르는 한 요정의 육성분투기,"['발랄한', '귀여운', '코믹/일상', '에피소드물']"
204,https://webtoon.kakao.com/content/트레져헌터2/204,트레져헌터2,학원/판타지,204.jpg,뒤엉킨 시간과 라크리모사의 분노! 모든 궁금증을 풀어 줄 대망의 시즌2!,"['역동적인', '통쾌한', '학원/판타지', '로드무비']"
206,https://webtoon.kakao.com/content/환상주사위/206,환상주사위,판타지 드라마,206.jpg,환상속의 모험을 즐기는 TRPG 부 아이들의 이야기,"['기발한', '몰입되는', '판타지드라마', '캠퍼스물']"
209,https://webtoon.kakao.com/content/실버볼2/209,실버볼2,드라마,209.jpg,드디어 실버볼 시즌전 개막! 상상초월 볼 컨트롤!,"['공감되는', '따뜻한', '드라마', '힐링물']"
224,https://webtoon.kakao.com/content/s_woman2/224,수퍼우먼2,학원/판타지,224.jpg,모든 것이 사라진 지금 그녀 앞에 펼쳐진 또 다른 세계는?! 본격 히어로 만화,"['역동적인', '압도되는', '학원/판타지', '로드무비']"
508,https://webtoon.kakao.com/content/메트로놈/508,메트로놈,학원/판타지,508.jpg,시간의 벽을 넘어 잃어버린 기억 속의 그녀를 지켜야만해!,"['역동적인', '미스테리한', '학원/판타지', '타임슬립']"
522,https://webtoon.kakao.com/content/당신과-당신의-도서관/522,당신과 당신의 도서관,로맨스,522.jpg,사상초유 엘리트 된장녀가 던지는 화끈한 인격모독!,"['공감되는', '설레는', '로맨스', '연애물']"
528,https://webtoon.kakao.com/content/웨이크-업-데드맨/528,웨이크 업 데드맨,학원/판타지,528.jpg,시체가 벌이는 순정로드무비 Daum 공모전 최우수상 수상!,"['긴장감있는', '염세적인', '학원/판타지', '로드무비']"
529,https://webtoon.kakao.com/content/은밀하게-위대하게/529,은밀하게 위대하게,액션/무협,529.jpg,천재 남파 간첩 그의 임무는 동네 바보형?,"['긴장감있는', '몰입되는', '액션/무협', '전쟁물']"
531,https://webtoon.kakao.com/content/풋프린트/531,풋프린트,드라마,531.jpg,15년 전 돌아가신 아버지 그가 남긴 흔적을 쫓는 20살 청년의 성장드라마!,"['공감되는', '평온한', '드라마', '로드무비']"
532,https://webtoon.kakao.com/content/광해이야기/532,광해이야기,공포/스릴러,532.jpg,2010년 여름 만화속세상이 선보이는 공포 프로젝트 '광해',"['등골오싹한', '미스테리한', '공포/스릴러', '반전물']"
535,https://webtoon.kakao.com/content/학원기이야담/535,학원기이야담,코믹/일상,535.jpg,기이하고 익숙한 학원괴담을 엉뚱하게 비틀어버린다. 계란계란작가의 특별한 호러만화,"['등골오싹한', '귀여운', '코믹/일상', '에피소드물']"
552,https://webtoon.kakao.com/content/팬더댄스와-차봉클럽/552,팬더댄스와 차봉클럽,코믹/일상,552.jpg,차이니즈 봉봉클럽에 팬더댄스가 떴다?! 본격 중화요리 만화 지금부터 시작합니다,"['웃기는', '귀여운', '코믹/일상', '에피소드물']"
553,https://webtoon.kakao.com/content/어쿠스틱-라이프/553,어쿠스틱 라이프,코믹/일상,553.jpg,알콩달콩 공감백배 생활 만담 에피소드 만화!,"['귀여운', '따뜻한', '코믹/일상', '에피소드물']"
555,https://webtoon.kakao.com/content/GONE/555,GONE,로맨스,555.jpg,내가 죽더라도 너무 슬퍼하지마 바람결에 너를 다시 찾아갈게,"['미스테리한', '따뜻한', '로맨스', '재난물']"
556,https://webtoon.kakao.com/content/노숙자-블루스/556,노숙자 블루스,드라마,556.jpg,처음부터 선택된 인생이 어디있어? 난 지금부터 그걸 바꿀꺼야!,"['긴장감있는', '몰입되는', '드라마', '복수물']"
563,https://webtoon.kakao.com/content/당신의-모든-순간/563,당신의 모든 순간,판타지 드라마,563.jpg,순정만화 네번째 이야기 당신의 모든 순간,"['감동적인', '긴장감있는', '판타지드라마', '재난물']"
567,https://webtoon.kakao.com/content/브레이커1/567,브레이커1,액션/무협,567.jpg,대한민국 최고의 도시무협 액션! 만화속세상 온라인 독점 공개!,"['역동적인', '압도되는', '액션/무협', '성공성장물']"
570,https://webtoon.kakao.com/content/무채색-가족/570,무채색 가족,드라마,570.jpg,무심한듯 시크한 가족코믹극 가난한 그들의 경제회복기!,"['공감되는', '감동적인', '드라마', '막장드라마']"
571,https://webtoon.kakao.com/content/모르모트/571,모르모트,코믹/일상,571.jpg,개성 넘치는 쥐들이 들려주는 유리벽 안 작은 세상 이야기,"['개성있는', '염세적인', '코믹/일상', '에피소드물']"
575,https://webtoon.kakao.com/content/좀비의-시간2/575,좀비의 시간2,공포/스릴러,575.jpg,좀비애와 가족애를 결합한 새로운 한국형 좀비만화 그 두 번째 이야기!,"['등골오싹한', '긴장감있는', '공포/스릴러', '휴머니즘']"
587,https://webtoon.kakao.com/content/커피와하루/587,커피와하루,코믹/일상,587.jpg,커피와 함께하는 따뜻한 하루 이야기,"['따뜻한', '유익한', '코믹/일상', '에피소드물']"
589,https://webtoon.kakao.com/content/암브로시아/589,암브로시아,코믹/일상,589.jpg,음식 섭취로 초능력을 발휘하는 주인공의 왁자지껄 활약기!,"['웃기는', '기발한', '코믹/일상', '성공성장물']"
592,https://webtoon.kakao.com/content/디스라이크/592,디스라이크,로맨스,592.jpg,민트사탕 맛의 오기와 자존심 정말 안좋아해? 좋아해?,"['설레는', '발랄한', '로맨스', '로맨틱코미디물']"
596,https://webtoon.kakao.com/content/브레이커2/596,브레이커2,액션/무협,596.jpg,대한민국 최고의 도시무협 액션 그 두 번째 신화가 펼쳐진다!,"['역동적인', '통쾌한', '액션/무협', '배틀물']"
